# Star Number Kenya Inventory - Part 2

| STAR NUMBER | STATUS | CATEGORY |
| *1208 | Available  | Silver |
| *1209 | Available  | Silver |
| *1210 | Available  | Silver |
| *1211 | Available  | Silver |
| *1212 | Available  | Platinum  |
| *1213 | Available  | Silver |
| *1214 | Available  | Silver |
| *1215 | Available  | Silver |
| *1216 | Available  | Silver |
| *1217 | Available  | Silver |
| *1218 | Available  | Silver |
| *1219 | Available  | Silver |
| *1220 | Available  | Silver |
| *1221 | Available  | Gold |
| *1222 | Available  | Silver |
| *1223 | Available  | Silver |
| *1224 | Available  | Silver |
| *1225 | Available  | Silver |
| *1226 | Available  | Silver |
| *1227 | Available  | Silver |
| *1228 | Available  | Silver |
| *1229 | Available  | Silver |
| *1230 | Available  | Silver |
| *1231 | Available  | Silver |
| *1232 | Available  | Silver |
| *1233 | Available  | Silver |
| *1235 | Available  | Silver |
| *1236 | Available  | Silver |
| *1237 | Available  | Silver |
| *1238 | Available  | Silver |
| *1239 | Available  | Silver |
| *1240 | Available  | Silver |
| *1241 | Available  | Silver |
| *1242 | Available  | Silver |
| *1243 | Available  | Silver |
| *1244 | Available  | Silver |
| *1245 | Available  | Silver |
| *1246 | Available  | Silver |
| *1247 | Available  | Silver |
| *1248 | Available  | Silver |
| *1249 | Available  | Silver |
| *1250 | Available  | Silver |
| *1251 | Available  | Silver |
| *1252 | Available  | Silver |
| *1253 | Available  | Silver |
| *1254 | Available  | Silver |
| *1255 | Available  | Silver |
| *1256 | Available  | Silver |
| *1257 | Available  | Silver |
| *1258 | Available  | Silver |
| *1259 | Available  | Silver |
| *1260 | Available  | Silver |
| *1261 | Available  | Silver |
| *1262 | Available  | Silver |
| *1263 | Available  | Silver |
| *1264 | Available  | Silver |
| *1265 | Available  | Silver |
| *1266 | Available  | Silver |
| *1267 | Available  | Silver |
| *1268 | Available  | Silver |
| *1269 | Available  | Silver |
| *1270 | Available  | Silver |
| *1271 | Available  | Silver |
| *1272 | Available  | Silver |
| *1273 | Available  | Silver |
| *1274 | Available  | Silver |
| *1275 | Available  | Silver |
| *1276 | Available  | Silver |
| *1277 | Available  | Silver |
| *1278 | Available  | Silver |
| *1279 | Available  | Silver |
| *1280 | Available  | Silver |
| *1281 | Available  | Silver |
| *1282 | Available  | Silver |
| *1283 | Available  | Silver |
| *1284 | Available  | Silver |
| *1285 | Available  | Silver |
| *1286 | Available  | Silver |
| *1287 | Available  | Silver |
| *1288 | Available  | Silver |
| *1289 | Available  | Silver |
| *1290 | Available  | Silver |
| *1291 | Available  | Silver |
| *1292 | Available  | Silver |
| *1293 | Available  | Silver |
| *1294 | Available  | Silver |
