# Star Number Kenya Inventory - Part 2

| STAR NUMBER | STATUS | CATEGORY |
| *1918 | Available  | Silver |
| *1919 | Available  | Platinum  |
| *1920 | Available  | Silver |
| *1921 | Available  | Silver |
| *1922 | Available  | Silver |
| *1923 | Available  | Silver |
| *1924 | Available  | Silver |
| *1925 | Available  | Silver |
| *1926 | Available  | Silver |
| *1927 | Available  | Silver |
| *1928 | Available  | Silver |
| *1929 | Available  | Silver |
| *1930 | Available  | Silver |
| *1931 | Available  | Silver |
| *1932 | Available  | Silver |
| *1933 | Available  | Silver |
| *1934 | Available  | Silver |
| *1935 | Available  | Silver |
| *1936 | Available  | Silver |
| *1937 | Available  | Silver |
| *1938 | Available  | Silver |
| *1939 | Available  | Silver |
| *1940 | Available  | Silver |
| *1941 | Available  | Silver |
| *1942 | Available  | Silver |
| *1943 | Available  | Silver |
| *1944 | Available  | Silver |
| *1945 | Available  | Silver |
| *1946 | Available  | Silver |
| *1947 | Available  | Silver |
| *1948 | Available  | Silver |
| *1949 | Available  | Silver |
| *1950 | Available  | Silver |
| *1951 | Available  | Silver |
| *1952 | Available  | Silver |
| *1953 | Available  | Silver |
| *1954 | Available  | Silver |
| *1955 | Available  | Silver |
| *1956 | Available  | Silver |
| *1957 | Available  | Silver |
| *1958 | Available  | Silver |
| *1959 | Available  | Silver |
| *1960 | Available  | Silver |
| *1961 | Available  | Silver |
| *1962 | Available  | Silver |
| *1963 | Available  | Silver |
| *1964 | Available  | Silver |
| *1965 | Available  | Silver |
| *1966 | Available  | Silver |
| *1967 | Available  | Silver |
| *1968 | Available  | Silver |
| *1969 | Available  | Silver |
| *1970 | Available  | Silver |
| *1971 | Available  | Silver |
| *1972 | Available  | Silver |
| *1973 | Available  | Silver |
| *1974 | Available  | Silver |
| *1975 | Available  | Silver |
| *1976 | Available  | Silver |
| *1977 | Available  | Silver |
| *1978 | Available  | Silver |
| *1979 | Available  | Silver |
| *1980 | Available  | Silver |
| *1981 | Available  | Silver |
| *1982 | Available  | Silver |
| *1983 | Available  | Silver |
| *1984 | Available  | Silver |
| *1985 | Available  | Silver |
| *1986 | Available  | Silver |
| *1987 | Available  | Silver |
| *1988 | Available  | Silver |
| *1989 | Available  | Silver |
| *1990 | Available  | Silver |
| *1991 | Available  | Gold |
| *1992 | Available  | Silver |
| *1993 | Available  | Silver |
| *1994 | Available  | Silver |
| *1995 | Available  | Silver |
| *1996 | Available  | Silver |
| *1997 | Available  | Silver |
| *1998 | Available  | Silver |
| *1999 | Available  | Platinum  |
| *2000 | Available  | Diamond |
